505: 472,1192,404,322,1143
506: 177,615,860,1039,664
507: 454,644,333,584,463,1132
508: 214,573,176,645,767,632,517
509: 1040,10,891,252,684,821,1010
510: 462,616,1130,1195,206,463
511: 344,492,667,103,586,608
512: 340,1119,999,37
513: 70,761,865,878,481
514: 733,298,774,1145,1027
515: 89,1186,1126,1163,175,405
516: 397,169,898,171,127,207,1040
517: 568,24,643,508,573,176,224,352,632
518: 973,561,1007,614,420,1173
519: 500,432,244,223,1134,449
520: 112,458,165,261,831,178
521: 616,1130,1152,1166,996,941
1195: 818,1125,510,1130,463,644
523: 269,600,364,395,672,1173
524: 669,246,54,1088,528,790
525: 1028,1147,73,971,233,1078,1139
526: 4,617,212,702,913,354
527: 936,149,1167,225,773,345
528: 984,1088,606,95,524,790
529: 31,152,102,940,11,981
530: 750,871,114,928,386,795
531: 43,271,338,902,291,958
532: 1116,1123,542,288,394,1011
1220: 604,27,747,884,1146,680
534: 454,644,1125,819,347,194
535: 196,185,237,886
536: 418,138,477,937,656,659
537: 299,1009,437,107
538: 824,419,951,162,988
539: 418,138,124,771
540: 1189,1023,641,0,558,496
541: 652,43,946,136
542: 674,288,1054,21,394,532
543: 893,738,1223,9,163,1217
544: 104,950,240,912,933
545: 765,1001,1066,1012,618,1085
546: 881,852,445,323,994
1175: 1215,280,1222,1158,932,676
548: 712,1204,4,617,213,98
549: 599,122,20,299
550: 225,1110,696,938,916,1060
551: 1057,580,1056,1071,1067,482
1244: 1218,93,921
553: 925,802,978,983,142
554: 1176,731,1087,94,412,1181
555: 884,841,699,747
556: 689,681,1154,1199,944,417
557: 274,461,243,129,456,426
558: 597,1219,0,1000,540,1023
559: 833,981,33
560: 672,395,784,296,267,228
561: 973,518,1007,397,169,407
562: 750,871,306,189,857
563: 746,581,425,1127,307,649
564: 249,236,904,84,735,843
565: 892,665,1111
566: 988,6,172,21,106,394,162
567: 585,368,899,251,978,736
568: 24,643,517,573,224,971,233
1192: 505,472,1193,404
570: 135,421,422,72,486
571: 925,802,824,80,789
572: 361,913,730,7,968,900
573: 508,214,176,1016,224,568,517
574: 47,268,1205,791,278,374
575: 1058,431,452,147,640,700
576: 1207,1082,715,1089,337
577: 300,311,610,624
578: 697,402,989,1235,168,728
579: 57,1178,816,317,1101
580: 551,1057,482,1137,244,1015
581: 563,746,1114,1127
582: 629,699,646
583: 598,435,134,273,1061
584: 206,823,463,507,909,1132
585: 368,567,736,38,1221
586: 358,103,511,1214,348,608
587: 442,7,337,160,1089
588: 781,262,328,602,301,1176
589: 340,1119,440,260,751,597
590: 8,18,874,792,205,653
1230: 912,639,355,685
592: 947,1045,195,1019,1051,957
593: 927,99,118,194,1024,126
1185: 786,1132,1100,909,1167,1110
1246: 1097,1022,1196,67
1223: 543,893,1114,9
597: 1219,558,589,260,751,0
598: 831,873,583,165,1061
599: 122,885,826,549
600: 364,1222,523,395,676,919
601: 964,787,1238,367,895,949,76
602: 81,308,301,421,262,588
603: 711,605,745,75,1050,642
604: 296,27,1220,32,1025,680
605: 711,603,1197,75,96,488
606: 124,95,771,528,801,790
607: 873,435,663,215,217
608: 677,837,586,511,492,1214
1164: 408,751,783,1119,119,266
610: 147,1034,311,577,815,624
611: 384,109,657,160,74
612: 393,63,246,854,250,108
613: 467,734,69,1136,153,1084
614: 693,846,1173,973,518
615: 409,177,486,860,506,1036
616: 462,510,1130,521,996,941
617: 4,526,212,213,548,283
618: 1012,439,1210,545,192,1085
619: 484,29,732,1187,1029
620: 376,828,866,55,729,1018
621: 1166,169,171,407,1152,1004
622: 53,897,1021,924,799,59
623: 905,651,1233,800
624: 815,610,577
625: 669,1236,1070,882,108
626: 216,719,144,673,240,950
627: 974,1112,1047,180,1079,460,388
628: 904,84,720,713,263
629: 699,747,582,170,27
630: 315,900,1213,436,1044
631: 407,1187,1152,1007,709
632: 352,1065,645,767,508,643,517
633: 742,48,642,28,459,706
634: 297,686,1178,116,1018,1101
635: 295,376,483,392,332
1194: 975,474,743,818,1125,1002
637: 254,647,956,241,805,961
1232: 1048,1226
639: 1230,912,1242,355,97
640: 147,87,451,701,431,575
641: 540,1189,58,496,713
642: 742,633,48,603,745,468
643: 568,24,517,352,632,1124
644: 507,534,454,1125,1195,463
645: 675,810,767,146,508,1065,632
646: 1158,932,582
647: 254,247,637,1231,386,241
648: 755,380,281,470,164,391
649: 134,307,563,1127,690,803
650: 5,256,320,953
651: 948,389,1233,926,905,623
652: 541,961,229,830
653: 205,1227,8,590,948,121
1204: 548,712,816,315,57,883,98
655: 136,229,864
656: 829,788,1141,418,536,659
657: 468,1089,48,611,109
658: 479,1070,887,325,813,705
659: 744,536,937,656,1141
660: 446,41,398,890,403
661: 789,1157,931,1129,210
662: 1245,396,863,363,1237,741
663: 813,215,690,447,607,435
664: 704,248,177,506,781
665: 565,892,183,425,438
666: 685,939
667: 344,511,458,178,430,103
668: 306,1239,415,367,895
669: 524,246,625,54,1236,108
670: 133,293,166,265
671: 339,227,36,714,1053,835
672: 560,420,1173,523,395,784,228
673: 744,1242,626,719,240
674: 542,705,172,329,1054,21
675: 645,810,767,1031,466,723,901,146
676: 919,1175,600,1222,1158
677: 837,858,608,498,1214,375
