292: 983,343,925,804,1013,725
293: 1188,385,963,133,265,670,166
294: 636,313,474,433,743,1010,1002
295: 332,392
296: 604,32,784,560,1025
297: 55,686,204,188,1153,1044
298: 774,350,258,514,35,1077
299: 20,1009,914,549
300: 311,77,993,694
301: 81,922,588,1176
302: 251,978,375,142,858,1122
303: 51,1113,235,877,1062,50
304: 792,205,702,351,212,354
305: 1053,1131,25,679,1188,385
306: 154,668,562,189
307: 134,1061,563,1127,803,649
308: 81,135,421
309: 836,899,842,86
310: 238,42,1090,992,501
311: 300,993,1034,577
312: 152,879,253,342,727,464,31
313: 636,474,294,433
314: 186,1209,149,773,830,1167
315: 968,572,900,883,1020,712
316: 833,782,65,1135,980,495
317: 777,1178,776,174
318: 351,411,220,277
319: 365,151,422,153,820,72
320: 276,209,650,256
321: 423,1134,1042,252,1103
322: 150,338,1080,404,505,1143
323: 179,546,778,718,990
324: 432,244,14,1015,580,703,519
325: 329,705,658,813,856
326: 831,873,217,178,430,167
327: 179,852,785,193,1170
328: 554,1176,781,850,412
329: 674,325,705,856,172,21
330: 916,118,593,1024,786,99
331: 992,532,403,356,398,1142
332: 1182,295,635,376,729
333: 507,194,463,584,909,99
334: 942,953,998,156,954,198
335: 906,105,382,137,1211,999
336: 552,977,687,1147,128,130,1078,698,591
337: 730,436,1207,468,657,587,715
338: 150,902,322,531,1143,291
339: 843,758,227,1053,1131,714
340: 589,1119,1074,440
341: 58,496,119,408,878,761
342: 192,1210,727,120,312,879,253
343: 983,292,804,140,1073,269,725
344: 178,430,667,377,511,492,290
345: 993,1167,1060,225,1185
346: 515,1062,175,756,1016,775,89
347: 1052,618,1012,534,918
348: 358,586,753,1214
349: 127,962,159,1169,427,499
350: 298,774,876,258,952,1072
351: 411,318,220,7,702,304,792
352: 645,717,675,632,1124,643
353: 429,721,950,144,724,557
354: 212,283,304,205,389,1089
355: 97,1162,1099,639,1156
356: 501,832,992,331,398,446
357: 558,1219,260,778,990,1000
358: 103,586,348,44
359: 1212,920,862,157,594,704
360: 238,242,825,40,834
361: 7,913,730,442,587,572
362: 956,189,949,480,125
363: 662,396,548,289,838,213
364: 600,197,846,269,395,523
365: 151,319,422
366: 239,1208,1033,275,1001,765
367: 415,708,668,601,787,895
368: 140,567,585,1073,978,142
369: 282,785,445,193,506,862
370: 723,10,684,891
371: 821,891,723,509
372: 681,1154,1,1032,487,1064
373: 569,1096,191,749,221,90,91,547
374: 278,574,1205,47,908,940
375: 251,302,498,677,858,836
376: 866,635,1121,828,729,332
377: 167,716,6,430,344,290
378: 132,707,483,1058,1159
379: 874,387,400,259,277
380: 648,168,281,1027,391
381: 70,266,783,512,1076,1037
382: 157,105,453,335,286,999
383: 448,279,64,96,576
384: 793,611,1050,970,74
385: 1188,293,305,1053,133,670
386: 241,857,1125,647,254
387: 184,379,259,851,148
388: 202,1079,460,798,466,1047
389: 838,283,354,926,1089
390: 1093,67,115,161,201,287,443
391: 1186,839,380,450,281,1027
392: 60,116,295
393: 63,854,612,888,985,779
394: 1011,674,542,1090,532,403
395: 784,919,600,364,672,523
396: 662,363,776,98
397: 127,139,159,407,169,123
398: 1142,890,331,356,832,446,41
399: 78,184,851
400: 145,190,259,277,379
401: 986,955,470,1038,230,827
402: 613,906,989,61,982
403: 532,331,394,1123,1142,660
404: 1080,1193,1192,322,505,472
405: 1026,924,845,943,1126,175
406: 448,279,1064,556,444,417
407: 171,169,245,397,139,973,123
408: 1151,751,0,119,496,341
409: 664,486,421,570,602,262
410: 1217,625,447,887,1070
411: 351,318,874,792,590
412: 94,979,506,554,328,850,704
413: 1153,79,1108,911,1205,47,1198
414: 275,208,840,1065,45
415: 367,708,886,185,668
416: 1207,576,468,745,96,642
417: 444,1199,556,406,1035,1198
418: 539,771,536,124,95,801,656
419: 837,858,538,802
420: 561,518,228,1173,631,709
421: 135,570,602,308,409
422: 135,570,365,319,72
423: 1134,321,202,449,1103,1031
424: 795,928,29,965,114,232
425: 563,183,438,665,273,1061
426: 456,1191,1063,1075,514,461
427: 1169,22,894,349,499
428: 722,287,691,201
429: 234,721,353,475,144
430: 178,344,217,326,167,377
431: 688,575,452,700,640
432: 244,324,580,703,500,519,1134
433: 636,313,294,1002,1012,819,975
434: 986,955,1046,1096,191,923
435: 873,217,134,583,803,690,607
436: 730,900,337,1059,1207,1082
437: 1118,1138,748,107,806
438: 892,665,565,425,273,471
439: 918,768,1024,192,126,593
440: 1170,260,1074,340,589,597
441: 605,915,808,1168,1051,488
442: 587,1019,7,361,220
443: 692,287,1093,390,1112,974
444: 1199,417,406,279,1082,1059
445: 282,785,369,881,994,852,1039
446: 1071,285,41,356,832,398
447: 163,410,663,690,887
448: 406,279,383,1064,64,487
449: 202,1079,223,423,519,1134
450: 494,281,1186,391,1068
451: 696,938,701,158,264,927
452: 431,575,700,1159,780,815
453: 157,105,382,664,615,177
454: 1012,819,818,644,507,534
455: 1149,1165,800,710
456: 426,1191,1063,497,648,733
457: 870,551,770,1057,1069,285
458: 112,520,44,178,667,103
459: 679,109,469,1203,633,706
460: 508,798,573,388,810,1047
461: 274,557,2,426,1063,1075
462: 1187,965,996,945,510,616
463: 206,644,584,507,333
464: 981,529,31,727,102,152,312
465: 592,817,199,796,907,1051
466: 1031,675,388,202,632,1047
467: 806,1150,1104,748,1136
468: 1207,416,742,657,642,337
469: 459,679,109,219,633,611,1050
470: 401,986,1046,173,1145,827
471: 273,1111,438,565
472: 505,404,1192
473: 905,863,651,926,741
474: 636,313,294,821,1194,485,1010
475: 144,216,122,20,234,429
476: 25,872,236,1006,758,1131
477: 117,726,937,138
478: 731,533
479: 108,882,658,1070,1054
480: 150,902,949,76,362,125
481: 53,231,865,513,897,255
482: 580,703,502,764,1105,1137,88
483: 1058,635,1121,707,378,1182
484: 619,29,1029,211,100,232
485: 621,1166,171,1194,636,474
486: 409,664,615,570,860,72
487: 915,64,1,372,448,1064
488: 757,711,1051,605,441
489: 1099,912,673,788,240,97
1216: 682,841,196,237,1179
