292: 804,725,1229,553,210,1013
293: 1241,385,1188,133,670
1170: 440,1256,193,340,778,260
295: 635,729,116,1091,332,392,111,113
296: 732,267,560,604,784,1025
297: 686,204,1178,1190,991
298: 258,350,2,426,514,1300
299: 20,1009,537,549
300: 311,68,993,77
301: 478,922,81,602,588,1176
302: 251,978,375,858,809
303: 175,1296,1177,50,897
304: 318,411,351,702,792,354
305: 1248,758,1203,25,385
306: 154,668,562,189,895
307: 9,1127,1111,649,803
308: 81,602,421,135
309: 836,899,86,842
310: 825,992,42,934,1116
311: 300,68,993,610,577
1249: 160,220,970,1270,74,187
1228: 121,1240,1267,78,455
314: 773,1209,186,149,1140,830
315: 968,900,1044,1292,883,712
316: 688,701,284,927,495,1305
317: 174,1101,776,816,98
318: 304,411,351,220,970,277
319: 820,1084,153,72,1268,613
320: 276,256,209,650
1193: 404,505,1192,472
322: 150,338,505,1080,1143
1154: 1198,525,1012,681,1052,268
1179: 941,1279,996
325: 705,329,813,658,856
326: 178,430,873,831,217,167
327: 179,546,785,852,1257,193
328: 412,850,781,1269,248
329: 674,705,325,716,856,172,21
1186: 1075,1163,1043,1006,221,1068
331: 1054,532,890,660
332: 392,635,729,295
333: 507,819,194,99,786,1167
334: 942,953,998,156,198,954
335: 137,1211,402,906,453,982
1267: 8,78,399,121,1228
337: 7,587,576,715,730,1207
338: 150,322,902,531,1143,291
339: 671,227,735,1248,758,714
340: 1074,589,1282,1170,440,1256
1134: 207,180,627,1040,1008
1163: 1075,1186,1150,1172,1151,1043
343: 197,1229,140,269
344: 511,492,430,667,377,290
345: 993,1034,694,225,527,773
346: 1148,1107,1076,1005,1014,1051
1144: 417,233,1199,1108,1153,1160
348: 753,1214,358,586
1178: 188,1153,1190,1160,1213,297,991
350: 258,298,952,514,774,1261,1302
351: 318,304,442,220,361,702
352: 573,517,176,798,1139
353: 724,950,144,429,721,461
354: 792,205,702,304,212,526
355: 985,97,1230,639,685,834
356: 398,1116,992,832,1283,49
357: 990,769,1000,778,1219,260
358: 103,586,44,348
359: 1212,862,920,704,177,286
360: 685,832,939,834,40,1273
361: 702,913,572,442,7,351
362: 956,857,189,949,480,125
363: 863,283,838,213,662,396
364: 197,1222,1289,676,600
365: 422,72,1268,1247
1169: 551,285,814,1142,1071,1129
367: 415,708,668,601,787,895
368: 585,567,978,142,140
369: 785,1257,979,282,850,862
1225: 109,384,793,459,469,48
1207: 730,436,576,1082,337
