1170: 440,340,1256,193,778,260
295: 635,116,729,392,111
296: 732,267,1025,560,604,784
1115: 201,1022,1172,1038,1096,1150
298: 258,350,2,426,514,1302
299: 20,1009,537,549
300: 311,68,993,77
301: 478,922,81,602,588,1176
302: 251,978,375,858,809
303: 1177,513,50,222,897
304: 318,411,351,702,792,354
305: 1248,758,385,1203,25
306: 154,668,562,189,895
307: 690,803,435,134,649
308: 81,602,421,135
309: 836,899,86,842
310: 42,934,288,825,992,1116
311: 300,68,993,610,577
1249: 160,220,970,1270,74,187
1228: 121,1240,1267,78,455
314: 773,1209,186,1140,149,830
315: 968,900,1044,883,712
316: 688,495,782,65,1305
317: 174,1101,776,816,98
318: 304,411,351,220,970,277
319: 820,1084,153,72,1268,613
320: 276,256,209,650
1193: 404,505,1192
322: 150,338,505,1080,472,1143
1154: 1,1012,681,1052,1198,1016
1179: 1279,941,619,996
325: 674,705,813,716,856,329
326: 178,430,831,873,167,217
327: 179,546,852,1257,193
328: 1176,781,588,248,412,850
329: 716,674,325,566,6,21
1186: 1075,1163,1043,1006,221,1068
331: 532,1054,660,1102
1312: 1189,540,58,641,713,720
333: 507,454,819,99,786,1167
334: 942,953,998,156,198,954
335: 137,1211,402,906,453,982
1267: 8,1311,78,399,121,1228
337: 7,587,576,715,730,1207
338: 150,322,902,531,1143,291
339: 671,227,735,1248,758,714
340: 1170,440,1282,1256,589,1298
1134: 627,449,180,1040,397,1008
1163: 1075,1150,1186,1172,1151,1043
343: 197,364,140,269
344: 511,492,667,951,430,377
345: 993,1034,694,225,527,773
346: 1005,1148,1051,1076,1174
1144: 1199,1108,417,1153,1160
348: 753,1214,358,586
1178: 568,1190,971,1153,1213
350: 258,298,952,774,1261,1302
351: 318,304,442,220,361,702
352: 632,798,517,1139,717,1085,176
353: 724,950,144,429,721,461
354: 792,205,702,304,212,526
355: 985,97,1230,639,685,834
356: 49,1116,446,992,832,1283
357: 990,769,1000,778,1219,260
358: 103,586,44,348
359: 1212,920,704,177,862,785
360: 685,832,939,834,40,1273
361: 702,913,572,442,7,351
362: 956,857,189,949,480,125
363: 863,283,838,662,396,213
364: 1222,343,269,1289,600
365: 422,72,1268,1247
1169: 551,285,1123,1071,1129,1142
367: 415,708,668,601,787,895
368: 585,567,978,140,142
369: 785,1257,979,282,62,862
1225: 109,384,793,459,469,48
1207: 730,436,444,576,1082,337
1245: 662,396,776,289,1237
1199: 1144,525,487,279,406,417
374: 940,224,1147,24,917,727
375: 251,302,498,677,858,836
376: 866,635,55,483,226
377: 988,6,290,430,167,344
378: 707,483,1121,1159
379: 277,387,400,411,874,1311
380: 61,168,755,648,281,450
381: 70,266,783,173,811,959
382: 286,999,453,157,506,1211
383: 416,1082,96,64,279,448
384: 1225,1270,109,74,793,695
385: 305,1248,1188,25,293,1309
386: 1231,795,871,530,241,647
387: 259,379,400,148,851,1311
388: 466,1031,1047,460,423,974
389: 651,948,1271,838,926,1227
1258: 982,494
391: 173,839,450,281
392: 1313,635,295,111
393: 63,612,888,246,854,779
394: 21,106,1250,532,403
395: 600,919,32,560,672,784
396: 662,1245,213,98,363
397: 1040,10,139,1134,449,407
398: 49,1054,890
399: 78,851,1267,1311
400: 277,259,379,387,145
401: 848,959,470,173,955,235
402: 1235,578,906,61,982,335
403: 182,1259,106,394,532,660
404: 1193,505,1080,964,997
1135: 1147,740,768,1024,545,439
406: 279,1199
407: 1007,614,1029,139,10,397
408: 0,496,751,119
409: 1036,860,486,421,262
410: 1251,1217,163,1243,1236
411: 318,304,277,379,792,874
412: 94,282,850,554,328
413: 1058,188,568,794,762
1239: 154,668,185,1276,503,415
415: 367,708,886,185,668,1239
416: 383,576,1082,64,642,468
417: 233,971,1153,525,1144,1199
418: 539,138,536,656,124,829
419: 824,538,951,837,858
1294: 871,530,562,875,750
421: 308,602,135,486,409,262
422: 365,72,570,1266
423: 1103,901,1079,974,1031,388
424: 484,619,100,29,114,1262
425: 134,649,273,563,746,665
426: 1278,514,1300,456,298,1277
1304: 1020,915,1168,1028,681
1226: 478,1306,1232,1048
429: 914,234,144,475,353,721
430: 178,326,167,344,667,377
431: 700,575,451,688,624
432: 139,519,210,1073,223,449
433: 1002,840,768
434: 1097,191,164,986,1319,17
435: 690,307,134,583,663,607
436: 730,1207,444,1108,900,1044
437: 1138,107,1009,537,748
438: 134,273,471,1061,598,583
439: 30,917,284,1135,1147,1024,593
440: 1170,340,589,597,260
1242: 673,1284,240,912,639
442: 7,587,160,220,361,351
1189: 1023,1312,540,156,198,1314
